block,street_name,average_floor_area_sqm,max_floor_area_sqm,min_floor_area_sqm
309,ANG MO KIO AVE 1,31.0,31.0,31.0
216,ANG MO KIO AVE 1,75.23,88.0,73.0
211,ANG MO KIO AVE 3,70.16,81.0,67.0
202,ANG MO KIO AVE 3,71.19,163.0,67.0
235,ANG MO KIO AVE 3,71.72,92.0,67.0
232,ANG MO KIO AVE 3,71.82,92.0,67.0
308,ANG MO KIO AVE 1,69.61,92.0,67.0
220,ANG MO KIO AVE 1,72.58,134.0,67.0
219,ANG MO KIO AVE 1,74.31,92.0,67.0
247,ANG MO KIO AVE 3,72.09,92.0,67.0
320,ANG MO KIO AVE 1,79.01,146.0,73.0
252,ANG MO KIO AVE 4,72.0,92.0,67.0
223,ANG MO KIO AVE 1,72.73,92.0,67.0
230,ANG MO KIO AVE 3,71.85,92.0,67.0
329,ANG MO KIO AVE 3,81.18,98.0,73.0
313,ANG MO KIO AVE 3,77.82,97.0,73.0
117,ANG MO KIO AVE 4,80.47,146.0,73.0
110,ANG MO KIO AVE 4,73.86,149.0,67.0
343,ANG MO KIO AVE 3,77.4,171.0,73.0
345,ANG MO KIO AVE 3,78.31,146.0,73.0
346,ANG MO KIO AVE 3,78.85,174.0,73.0
121,ANG MO KIO AVE 3,72.4,162.0,67.0
129,ANG MO KIO AVE 3,77.56,174.0,67.0
130,ANG MO KIO AVE 3,78.75,174.0,73.0
128,ANG MO KIO AVE 3,73.26,149.0,67.0
127,ANG MO KIO AVE 3,73.55,134.0,67.0
126,ANG MO KIO AVE 3,74.99,164.0,67.0
403,ANG MO KIO AVE 10,72.71,164.0,67.0
404,ANG MO KIO AVE 10,71.57,92.0,67.0
405,ANG MO KIO AVE 10,72.28,92.0,67.0
417,ANG MO KIO AVE 10,78.84,99.0,74.0
418,ANG MO KIO AVE 10,79.92,176.0,67.0
419,ANG MO KIO AVE 10,80.67,176.0,67.0
441,ANG MO KIO AVE 10,73.03,162.0,67.0
442,ANG MO KIO AVE 10,71.18,92.0,67.0
443,ANG MO KIO AVE 10,71.19,92.0,67.0
444,ANG MO KIO AVE 10,71.2,175.0,67.0
450,ANG MO KIO AVE 10,71.24,83.0,68.0
435,ANG MO KIO AVE 10,72.32,92.0,67.0
433,ANG MO KIO AVE 10,71.97,162.0,67.0
434,ANG MO KIO AVE 10,75.02,160.0,67.0
424,ANG MO KIO AVE 3,75.98,98.0,67.0
425,ANG MO KIO AVE 3,75.57,98.0,67.0
466,ANG MO KIO AVE 10,72.94,93.0,67.0
471,ANG MO KIO AVE 10,72.85,162.0,67.0
474,ANG MO KIO AVE 10,74.05,148.0,67.0
570,ANG MO KIO AVE 3,70.31,92.0,67.0
586,ANG MO KIO AVE 3,72.77,91.0,67.0
455,ANG MO KIO AVE 10,71.29,92.0,67.0
465,ANG MO KIO AVE 10,72.37,92.0,68.0
463,ANG MO KIO AVE 10,73.34,163.0,68.0
564,ANG MO KIO AVE 3,73.43,163.0,68.0
560,ANG MO KIO AVE 10,72.61,92.0,67.0
558,ANG MO KIO AVE 10,71.87,92.0,67.0
559,ANG MO KIO AVE 10,73.47,163.0,68.0
538,ANG MO KIO AVE 5,70.89,93.0,68.0
534,ANG MO KIO AVE 10,71.5,93.0,68.0
